Package,LibPath,Version,Priority,Built
acepack,C:/Users/kr686/Documents/R/win-library/3.4,1.4.1,NA,3.4.3
anytime,C:/Users/kr686/Documents/R/win-library/3.4,0.3.0,NA,3.4.3
arules,C:/Users/kr686/Documents/R/win-library/3.4,1.5-5,NA,3.4.3
arulesViz,C:/Users/kr686/Documents/R/win-library/3.4,1.3-0,NA,3.4.1
assertthat,C:/Users/kr686/Documents/R/win-library/3.4,0.2.0,NA,3.4.1
backports,C:/Users/kr686/Documents/R/win-library/3.4,1.1.2,NA,3.4.3
base64enc,C:/Users/kr686/Documents/R/win-library/3.4,0.1-3,NA,3.4.1
BH,C:/Users/kr686/Documents/R/win-library/3.4,1.65.0-1,NA,3.4.1
bindr,C:/Users/kr686/Documents/R/win-library/3.4,0.1,NA,3.4.1
bindrcpp,C:/Users/kr686/Documents/R/win-library/3.4,0.2,NA,3.4.1
bitops,C:/Users/kr686/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
boot,C:/Users/kr686/Documents/R/win-library/3.4,1.3-20,recommended,3.4.3
broom,C:/Users/kr686/Documents/R/win-library/3.4,0.4.3,NA,3.4.3
callr,C:/Users/kr686/Documents/R/win-library/3.4,2.0.1,NA,3.4.3
caTools,C:/Users/kr686/Documents/R/win-library/3.4,1.17.1,NA,3.4.1
cellranger,C:/Users/kr686/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
checkmate,C:/Users/kr686/Documents/R/win-library/3.4,1.8.5,NA,3.4.3
cli,C:/Users/kr686/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
clipr,C:/Users/kr686/Documents/R/win-library/3.4,0.4.0,NA,3.4.3
clisymbols,C:/Users/kr686/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
colorspace,C:/Users/kr686/Documents/R/win-library/3.4,1.3-2,NA,3.4.1
covr,C:/Users/kr686/Documents/R/win-library/3.4,3.0.1,NA,3.4.3
crayon,C:/Users/kr686/Documents/R/win-library/3.4,1.3.4,NA,3.4.3
crosstalk,C:/Users/kr686/Documents/R/win-library/3.4,1.0.0,NA,3.4.1
curl,C:/Users/kr686/Documents/R/win-library/3.4,3.1,NA,3.4.3
data.table,C:/Users/kr686/Documents/R/win-library/3.4,1.10.4-3,NA,3.4.3
DBI,C:/Users/kr686/Documents/R/win-library/3.4,0.7,NA,3.4.3
dbplyr,C:/Users/kr686/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
debugme,C:/Users/kr686/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
dendextend,C:/Users/kr686/Documents/R/win-library/3.4,1.6.0,NA,3.4.3
DEoptimR,C:/Users/kr686/Documents/R/win-library/3.4,1.0-8,NA,3.4.1
desc,C:/Users/kr686/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
devtools,C:/Users/kr686/Documents/R/win-library/3.4,1.13.4,NA,3.4.3
dichromat,C:/Users/kr686/Documents/R/win-library/3.4,2.0-0,NA,3.4.1
digest,C:/Users/kr686/Documents/R/win-library/3.4,0.6.14,NA,3.4.3
diptest,C:/Users/kr686/Documents/R/win-library/3.4,0.75-7,NA,3.4.1
dplyr,C:/Users/kr686/Documents/R/win-library/3.4,0.7.4.9000,NA,3.4.3
DT,C:/Users/kr686/Documents/R/win-library/3.4,0.3,NA,3.4.3
enc,C:/Users/kr686/Documents/R/win-library/3.4,0.1,NA,3.4.3
evaluate,C:/Users/kr686/Documents/R/win-library/3.4,0.10.1,NA,3.4.1
flexmix,C:/Users/kr686/Documents/R/win-library/3.4,2.3-14,NA,3.4.1
forcats,C:/Users/kr686/Documents/R/win-library/3.4,0.2.0,NA,3.4.3
foreach,C:/Users/kr686/Documents/R/win-library/3.4,1.4.4,NA,3.4.3
Formula,C:/Users/kr686/Documents/R/win-library/3.4,1.2-2,NA,3.4.1
fpc,C:/Users/kr686/Documents/R/win-library/3.4,2.1-11,NA,3.4.3
fs,C:/Users/kr686/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
gclus,C:/Users/kr686/Documents/R/win-library/3.4,1.3.1,NA,3.4.1
gdata,C:/Users/kr686/Documents/R/win-library/3.4,2.18.0,NA,3.4.1
gdtools,C:/Users/kr686/Documents/R/win-library/3.4,0.1.6,NA,3.4.3
ggforce,C:/Users/kr686/Documents/R/win-library/3.4,0.1.1,NA,3.4.3
ggplot2,C:/Users/kr686/Documents/R/win-library/3.4,2.2.1,NA,3.4.3
ggplot2movies,C:/Users/kr686/Documents/R/win-library/3.4,0.0.1,NA,3.4.1
ggraph,C:/Users/kr686/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
ggrepel,C:/Users/kr686/Documents/R/win-library/3.4,0.7.0,NA,3.4.3
gh,C:/Users/kr686/Documents/R/win-library/3.4,1.0.1,NA,3.4.3
git2r,C:/Users/kr686/Documents/R/win-library/3.4,0.21.0,NA,3.4.3
glue,C:/Users/kr686/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
gplots,C:/Users/kr686/Documents/R/win-library/3.4,3.0.1,NA,3.4.1
gridExtra,C:/Users/kr686/Documents/R/win-library/3.4,2.3,NA,3.4.1
gtable,C:/Users/kr686/Documents/R/win-library/3.4,0.2.0,NA,3.4.1
gtools,C:/Users/kr686/Documents/R/win-library/3.4,3.5.0,NA,3.4.1
haven,C:/Users/kr686/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
here,C:/Users/kr686/Documents/R/win-library/3.4,0.1,NA,3.4.3
hexbin,C:/Users/kr686/Documents/R/win-library/3.4,1.27.2,NA,3.4.3
highr,C:/Users/kr686/Documents/R/win-library/3.4,0.6,NA,3.4.1
Hmisc,C:/Users/kr686/Documents/R/win-library/3.4,4.1-1,NA,3.4.3
hms,C:/Users/kr686/Documents/R/win-library/3.4,0.4.1,NA,3.4.3
htmlTable,C:/Users/kr686/Documents/R/win-library/3.4,1.11.2,NA,3.4.3
htmltools,C:/Users/kr686/Documents/R/win-library/3.4,0.3.6,NA,3.4.1
htmlwidgets,C:/Users/kr686/Documents/R/win-library/3.4,1.0,NA,3.4.3
httpuv,C:/Users/kr686/Documents/R/win-library/3.4,1.3.5,NA,3.4.1
httr,C:/Users/kr686/Documents/R/win-library/3.4,1.3.1,NA,3.4.1
igraph,C:/Users/kr686/Documents/R/win-library/3.4,1.1.2,NA,3.4.1
ini,C:/Users/kr686/Documents/R/win-library/3.4,0.3.0,NA,3.4.3
irlba,C:/Users/kr686/Documents/R/win-library/3.4,2.3.2,NA,3.4.3
iterators,C:/Users/kr686/Documents/R/win-library/3.4,1.0.9,NA,3.4.3
jsonlite,C:/Users/kr686/Documents/R/win-library/3.4,1.5,NA,3.4.1
kernlab,C:/Users/kr686/Documents/R/win-library/3.4,0.9-25,NA,3.4.1
knitr,C:/Users/kr686/Documents/R/win-library/3.4,1.18,NA,3.4.3
labeling,C:/Users/kr686/Documents/R/win-library/3.4,0.3,NA,3.4.1
latticeExtra,C:/Users/kr686/Documents/R/win-library/3.4,0.6-28,NA,3.4.3
lazyeval,C:/Users/kr686/Documents/R/win-library/3.4,0.2.1,NA,3.4.3
lmtest,C:/Users/kr686/Documents/R/win-library/3.4,0.9-35,NA,3.4.1
lubridate,C:/Users/kr686/Documents/R/win-library/3.4,1.7.1,NA,3.4.3
magrittr,C:/Users/kr686/Documents/R/win-library/3.4,1.5,NA,3.4.1
manipulate,C:/Users/kr686/Documents/R/win-library/3.4,0.98.1103,NA,3.4.3
mapproj,C:/Users/kr686/Documents/R/win-library/3.4,1.2-5,NA,3.4.3
maps,C:/Users/kr686/Documents/R/win-library/3.4,3.2.0,NA,3.4.3
maptools,C:/Users/kr686/Documents/R/win-library/3.4,0.9-2,NA,3.4.3
markdown,C:/Users/kr686/Documents/R/win-library/3.4,0.8,NA,3.4.1
MASS,C:/Users/kr686/Documents/R/win-library/3.4,7.3-48,recommended,3.4.3
Matrix,C:/Users/kr686/Documents/R/win-library/3.4,1.2-12,recommended,3.4.3
MatrixModels,C:/Users/kr686/Documents/R/win-library/3.4,0.4-1,NA,3.4.3
mclust,C:/Users/kr686/Documents/R/win-library/3.4,5.4,NA,3.4.3
memoise,C:/Users/kr686/Documents/R/win-library/3.4,1.1.0,NA,3.4.1
mgcv,C:/Users/kr686/Documents/R/win-library/3.4,1.8-23,recommended,3.4.3
mime,C:/Users/kr686/Documents/R/win-library/3.4,0.5,NA,3.4.1
mnormt,C:/Users/kr686/Documents/R/win-library/3.4,1.5-5,NA,3.4.1
modelr,C:/Users/kr686/Documents/R/win-library/3.4,0.1.1,NA,3.4.3
modeltools,C:/Users/kr686/Documents/R/win-library/3.4,0.2-21,NA,3.4.1
multcomp,C:/Users/kr686/Documents/R/win-library/3.4,1.4-8,NA,3.4.3
munsell,C:/Users/kr686/Documents/R/win-library/3.4,0.4.3,NA,3.4.1
mvtnorm,C:/Users/kr686/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
NLP,C:/Users/kr686/Documents/R/win-library/3.4,0.1-11,NA,3.4.1
openxlsx,C:/Users/kr686/Documents/R/win-library/3.4,4.0.17,NA,3.4.3
packrat,C:/Users/kr686/Documents/R/win-library/3.4,0.4.8-1,NA,3.4.1
pacman,C:/Users/kr686/Documents/R/win-library/3.4,0.4.6,NA,3.4.1
pillar,C:/Users/kr686/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
pkgconfig,C:/Users/kr686/Documents/R/win-library/3.4,2.0.1,NA,3.4.1
